"VALUE,N,9,0","CLASS_NAME,C,32","RED,N,19,11","GREEN,N,19,11","BLUE,N,19,11","OPACITY,N,19,11"
0,Background,0,0,0,0
1,Corn,1,0.8274509804,0,1
2,Cotton,1,0.1490196078,0.1490196078,1
3,Rice,0,0.6588235294,0.8980392157,1
4,Sorghum,1,0.6196078431,0.0470588235,1
5,Soybeans,0.1490196078,0.4392156863,0,1
6,Sunflower,1,1,0,1
7,,0,0,0,1
8,,0,0,0,1
9,,0,0,0,1
10,Peanuts,0.4392156863,0.6470588235,0,1
11,Tobacco,0,0.6862745098,0.2980392157,1
12,Sweet Corn,0.8666666667,0.6470588235,0.0470588235,1
13,Pop or Orn Corn,0.8666666667,0.6470588235,0.0470588235,1
14,Mint,0.4980392157,0.8274509804,1,1
15,,0,0,0,1
16,,0,0,0,1
17,,0,0,0,1
18,,0,0,0,1
19,,0,0,0,1
20,,0,0,0,1
21,Barley,0.8862745098,0,0.4862745098,1
22,Durum Wheat,0.537254902,0.3882352941,0.3294117647,1
23,Spring Wheat,0.8470588235,0.7098039216,0.4196078431,1
24,Winter Wheat,0.6470588235,0.4392156863,0,1
25,Other Small Grains,0.8392156863,0.6196078431,0.737254902,1
26,Dbl Crop WinWht/Soybeans,0.4392156863,0.4392156863,0,1
27,Rye,0.6784313725,0,0.4862745098,1
28,Oats,0.6274509804,0.3490196078,0.537254902,1
29,Millet,0.4392156863,0,0.2862745098,1
30,Speltz,0.8392156863,0.6196078431,0.737254902,1
31,Canola,0.8196078431,1,0,1
32,Flaxseed,0.4980392157,0.6,1,1
33,Safflower,0.8392156863,0.8392156863,0,1
34,Rape Seed,0.8196078431,1,0,1
35,Mustard,0,0.6862745098,0.2980392157,1
36,Alfalfa,1,0.6470588235,0.8862745098,1
37,Other Hay/Non Alfalfa,0.6470588235,0.9490196078,0.5490196078,1
38,Camelina,0,0.6862745098,0.2980392157,1
39,Buckwheat,0.8392156863,0.6196078431,0.737254902,1
40,,0,0,0,1
41,Sugarbeets,0.6588235294,0,0.8980392157,1
42,Dry Beans,0.6470588235,0,0,1
43,Potatoes,0.4392156863,0.1490196078,0,1
44,Other Crops,0,0.6862745098,0.2980392157,1
45,Sugarcane,0.6980392157,0.4980392157,1,1
46,Sweet Potatoes,0.4392156863,0.1490196078,0,1
47,Misc Vegs & Fruits,1,0.4,0.4,1
48,Watermelons,1,0.4,0.4,1
49,Onions,1,0.8,0.4,1
50,Cucumbers,1,0.4,0.4,1
51,Chick Peas,0,0.6862745098,0.2980392157,1
52,Lentils,0,0.8666666667,0.6862745098,1
53,Peas,0.3294117647,1,0,1
54,Tomatoes,0.9490196078,0.6392156863,0.4666666667,1
55,Caneberries,1,0.4,0.4,1
56,Hops,0,0.6862745098,0.2980392157,1
57,Herbs,0.4980392157,0.8274509804,1,1
58,Clover/Wildflowers,0.9098039216,0.7490196078,1,1
59,Sod/Grass Seed,0.6862745098,1,0.8666666667,1
60,Switchgrass,0,0.6862745098,0.2980392157,1
61,Fallow/Idle Cropland,0.7490196078,0.7490196078,0.4666666667,1
62,Pasture/Grass,0.9098039216,1,0.7490196078,1
63,Forest,0.5764705882,0.8,0.5764705882,1
64,Shrubland,0.7764705882,0.8392156863,0.6196078431,1
65,Barren,0.8,0.7490196078,0.6392156863,1
66,Cherries,1,0,1,1
67,Peaches,1,0.5568627451,0.6666666667,1
68,Apples,0.7294117647,0,0.3098039216,1
69,Grapes,0.4392156863,0.2666666667,0.537254902,1
70,Christmas Trees,0,0.4666666667,0.4666666667,1
71,Other Tree Crops,0.6980392157,0.6078431373,0.4392156863,1
72,Citrus,1,1,0.4980392157,1
73,,0,0,0,1
74,Pecans,0.7098039216,0.4392156863,0.3568627451,1
