red,blue,id,green,name
246,131,1,240,corn
242,215,2,238,cotton
255,194,3,238,rice
218,100,4,159,sorghum
135,97,5,207,soybeans
248,13,6,210,sunflower
0,0,7,0,blank
0,0,8,0,blank
0,0,9,0,blank
229,133,10,223,peanuts
109,28,11,85,tobacco
243,13,12,229,sweet_corn
247,201,13,244,pop_or_orn_corn
120,80,14,178,mint
0,0,15,0,blank
0,0,16,0,blank
0,0,17,0,blank
0,0,18,0,blank
0,0,19,0,blank
0,0,20,0,blank
237,166,21,210,barley
216,140,22,210,durum_wheat
187,106,23,161,spring_wheat
164,68,24,116,winter_wheat
177,126,25,174,other_small_grains
244,157,26,206,dbl_crop_winwht_soybeans
161,82,27,141,rye
222,135,28,193,oats
228,113,29,208,millet
220,141,30,215,speltz
255,166,31,251,canola
127,37,32,75,flaxseed
175,51,33,79,safflower
252,148,34,247,rape_seed
72,47,35,134,mustard
74,51,36,161,alfalfa
104,77,37,177,other_hay_non_alfalfa
156,150,38,214,camelina
163,107,39,136,buckwheat
0,0,40,0,blank
171,58,41,48,sugarbeets
184,66,42,153,dry_beans
207,123,43,167,potatoes
89,84,44,137,other_crops
184,173,45,231,sugarcane
245,32,46,130,sweet_potatoes
74,28,47,136,misc_vegs___fruits
237,123,48,36,watermelons
205,123,49,180,onions
190,114,50,203,cucumbers
237,142,51,204,chick_peas
123,47,52,99,lentils
144,117,53,201,peas
133,30,54,23,tomatoes
233,81,55,15,caneberries
166,98,56,180,hops
95,52,57,157,herbs
207,96,58,84,clover_wildflowers
43,61,59,140,sod_grass_seed
179,168,60,196,switchgrass
116,104,61,187,fallow_idle_cropland
153,104,62,208,pasture_grass
36,10,63,62,forest
110,106,64,138,shrubland
176,113,65,172,barren
119,18,66,35,cherries
230,36,67,137,peaches
167,26,68,29,apples
83,61,69,14,grapes
33,25,70,67,christmas_trees
55,73,71,121,other_tree_crops
237,12,72,203,citrus
0,0,73,0,blank
77,35,74,56,pecans
218,93,75,191,almonds
227,126,76,194,walnuts
204,80,77,235,pears
0,0,78,0,blank
0,0,79,0,blank
0,0,80,0,blank
242,255,81,252,clouds_no_data
206,174,82,201,developed
110,230,83,223,water
0,0,84,0,blank
0,0,85,0,blank
0,0,86,0,blank
99,146,87,165,wetlands
172,162,88,171,nonag_undefined
0,0,89,0,blank
0,0,90,0,blank
0,0,91,0,blank
109,214,92,205,aquaculture
0,0,93,0,blank
0,0,94,0,blank
0,0,95,0,blank
0,0,96,0,blank
0,0,97,0,blank
0,0,98,0,blank
0,0,99,0,blank
0,0,100,0,blank
0,0,101,0,blank
0,0,102,0,blank
0,0,103,0,blank
0,0,104,0,blank
0,0,105,0,blank
0,0,106,0,blank
0,0,107,0,blank
0,0,108,0,blank
0,0,109,0,blank
0,0,110,0,blank
110,230,111,223,open_water
240,254,112,237,perennial_ice_snow
0,0,113,0,blank
0,0,114,0,blank
0,0,115,0,blank
0,0,116,0,blank
0,0,117,0,blank
0,0,118,0,blank
0,0,119,0,blank
0,0,120,0,blank
129,117,121,141,developed_open_space
158,145,122,171,developed_low_intensity
181,174,123,188,developed_med_intensity
255,255,124,255,developed_high_intensity
0,0,125,0,blank
0,0,126,0,blank
0,0,127,0,blank
0,0,128,0,blank
0,0,129,0,blank
0,0,130,0,blank
176,113,131,172,barren
0,0,132,0,blank
0,0,133,0,blank
0,0,134,0,blank
0,0,135,0,blank
0,0,136,0,blank
0,0,137,0,blank
0,0,138,0,blank
0,0,139,0,blank
0,0,140,0,blank
95,56,141,134,deciduous_forest
46,19,142,72,evergreen_forest
69,25,143,114,mixed_forest
0,0,144,0,blank
0,0,145,0,blank
0,0,146,0,blank
0,0,147,0,blank
0,0,148,0,blank
0,0,149,0,blank
0,0,150,0,blank
0,0,151,0,blank
110,106,152,138,shrubland
0,0,153,0,blank
0,0,154,0,blank
0,0,155,0,blank
0,0,156,0,blank
0,0,157,0,blank
0,0,158,0,blank
0,0,159,0,blank
0,0,160,0,blank
0,0,161,0,blank
0,0,162,0,blank
0,0,163,0,blank
0,0,164,0,blank
0,0,165,0,blank
0,0,166,0,blank
0,0,167,0,blank
0,0,168,0,blank
0,0,169,0,blank
0,0,170,0,blank
140,133,171,186,grassland_herbaceous
0,0,172,0,blank
0,0,173,0,blank
0,0,174,0,blank
0,0,175,0,blank
0,0,176,0,blank
0,0,177,0,blank
0,0,178,0,blank
0,0,179,0,blank
0,0,180,0,blank
193,166,181,213,pasture_hay
0,0,182,0,blank
0,0,183,0,blank
0,0,184,0,blank
0,0,185,0,blank
0,0,186,0,blank
0,0,187,0,blank
0,0,188,0,blank
0,0,189,0,blank
124,132,190,192,woody_wetlands
0,0,191,0,blank
0,0,192,0,blank
0,0,193,0,blank
0,0,194,0,blank
104,68,195,176,herbaceous_wetlands
0,0,196,0,blank
0,0,197,0,blank
0,0,198,0,blank
0,0,199,0,blank
0,0,200,0,blank
0,0,201,0,blank
0,0,202,0,blank
0,0,203,0,blank
199,112,204,222,pistachios
202,135,205,174,triticale
242,34,206,99,carrots
157,98,207,188,asparagus
237,216,208,232,garlic
246,68,209,140,cantaloupes
63,58,210,34,prunes
94,45,211,93,olives
198,41,212,95,oranges
236,154,213,238,honeydew_melons
39,50,214,101,broccoli
0,0,215,0,blank
38,42,216,86,peppers
160,39,217,29,pomegranates
217,42,218,93,nectarines
67,63,219,142,greens
78,54,220,13,plums
196,40,221,35,strawberries
243,33,222,224,squash
233,89,223,168,apricots
121,109,224,173,vetch
208,130,225,211,dbl_crop_winwht_corn
234,173,226,233,dbl_crop_oats_corn
166,144,227,229,lettuce
0,0,228,0,blank
233,36,229,162,pumpkins
201,140,230,216,dbl_crop_lettuce_durum_wht
246,68,231,140,dbl_crop_lettuce_cantaloupe
176,154,232,201,dbl_crop_lettuce_cotton
237,166,233,210,dbl_crop_lettuce_barley
200,109,234,155,dbl_crop_durum_wht_sorghum
194,135,235,165,dbl_crop_barley_sorghum
161,92,236,127,dbl_crop_winwht_sorghum
227,173,237,225,dbl_crop_barley_corn
220,149,238,185,dbl_crop_winwht_cotton
185,170,239,213,dbl_crop_soybeans_cotton
217,201,240,247,dbl_crop_soybeans_oats
193,127,241,235,dbl_crop_corn_soybeans
30,85,242,25,blueberries
188,124,243,207,cabbage
